# Credits to https://github.com/JeffSackmann/tennis_wta
tourney_id,tourney_name,surface,tourney_date,match_num,winner_id,loser_id,score
2019-0300,Luxembourg,Hard,20191014,270,201504,201595,5-7 6-1 6-3
2019-0300,Luxembourg,Hard,20191014,271,201514,201426,6-3 6-4
2019-0300,Luxembourg,Hard,20191014,272,201697,211901,6-2 7-6(4)
2019-0300,Luxembourg,Hard,20191014,273,201620,211539,6-1 6-0
2019-0300,Luxembourg,Hard,20191014,274,214981,203564,6-2 7-6(2)
2019-0300,Luxembourg,Hard,20191014,275,202653,201605,6-7(7) 7-6(5) 7-6(6)
2019-0300,Luxembourg,Hard,20191014,276,201696,216146,4-6 7-5 6-2
2019-0300,Luxembourg,Hard,20191014,278,215020,221103,6-4 6-0
2019-0300,Luxembourg,Hard,20191014,279,213583,201603,6-3 1-6 6-4
2019-0300,Luxembourg,Hard,20191014,280,202506,213525,2-6 7-6(4) 6-3
2019-0300,Luxembourg,Hard,20191014,281,201512,202421,2-4 RET
2019-0300,Luxembourg,Hard,20191014,282,201492,202429,0-6 6-4 6-4
2019-0300,Luxembourg,Hard,20191014,283,204430,211337,4-6 6-3 6-2
2019-0300,Luxembourg,Hard,20191014,284,211533,216083,7-5 7-6(3)
2019-0300,Luxembourg,Hard,20191014,285,210722,202457,6-0 6-3
2019-0300,Luxembourg,Hard,20191014,286,201504,201514,4-6 6-4 6-4
2019-0300,Luxembourg,Hard,20191014,287,201620,201697,7-6(5) 3-6 7-6(6)
2019-0300,Luxembourg,Hard,20191014,288,214981,202653,6-2 6-1
2019-0300,Luxembourg,Hard,20191014,289,201696,214149,6-2 6-3
2019-0300,Luxembourg,Hard,20191014,290,215020,213583,6-0 6-1
2019-0300,Luxembourg,Hard,20191014,291,202506,201512,6-2 7-5
2019-0300,Luxembourg,Hard,20191014,292,204430,201492,6-1 0-0 RET
2019-0300,Luxembourg,Hard,20191014,293,211533,210722,4-6 6-2 6-2
2019-0300,Luxembourg,Hard,20191014,294,201504,201620,1-6 6-2 6-3
2019-0300,Luxembourg,Hard,20191014,295,214981,201696,6-0 6-4
2019-0300,Luxembourg,Hard,20191014,296,215020,202506,6-3 1-0 RET
2019-0300,Luxembourg,Hard,20191014,297,211533,204430,6-1 6-1
2019-0300,Luxembourg,Hard,20191014,298,201504,214981,6-3 6-4
