# Credits to https://github.com/JeffSackmann/tennis_wta
Id,First Name,Last Name,Country
200001,Martina,Hingis,SUI
200002,Mirjana,Lucic,CRO
200003,Justine,Henin,BEL
200004,Kerry Anne,Guse,AUS
200005,Jolene,Watanabe Giltz,USA
200006,Karina,Habsudova,SVK
200007,Silvija,Talaja,CRO
200008,Alicia,Molik,AUS
200009,Tamarine,Tanasugarn,THA
200010,Rita,Grande,ITA
200011,Katarina,Srebotnik,SLO
200012,Jana,Nejedly,CAN
200013,Angelica,Gavaldon,MEX
200014,Tzipi,Obziler,ISR
200015,Petra,Mandula,HUN
200016,Sandrine,Testud,FRA
200017,Arantxa,Sanchez Vicario,ESP
200018,Julia,Abe,GER
200019,Alexandra,Fusai,FRA
200020,Lisa,Raymond,USA
200021,Alexia,Dechaume Balleret,FRA
200022,Emmanuelle,Gagliardi,SUI
200023,Bryanne,Stewart,AUS
200024,Maria,Vento Kabchi,VEN
200025,Ludmila,Cervanova,SVK
200026,Florencia,Labat,ARG
200027,Magui,Serna,ESP
200028,Maureen,Drake,CAN
200029,Lisa,Mcshea,AUS
200030,Miroslava,Vavrinec,SUI
200031,Meilen,Tu,USA
200032,Barbara,Schett,AUT
200033,Serena,Williams,USA
200034,Amanda,Grahame,AUS
200035,Maria,Sanchez Lorenzo,ESP
200036,Nicole,Pratt,AUS
200037,Sabine,Appelmans,BEL
200038,Annabel,Ellwood,AUS
200039,Chanda,Rubin,USA
200040,Anna,Smashnova,ISR
200041,Amy,Frazier,USA
200042,Els,Callens,BEL
200043,Virginie,Razzano,FRA
200044,Denisa,Chladkova,CZE
200045,Tara,Snyder,USA
200046,Meghann,Shaughnessy,USA
200047,Pavlina,Nola,NZL
200048,Elena,Likhovtseva,RUS
200049,Conchita,Martinez,ESP
200050,Sandra,Kleinova,CZE
200051,Irina,Spirlea,ROU
200052,Olga,Barabanschikova,BLR
200053,Lubomira,Bacheva,BUL
200054,Sylvia,Plischke,AUT
200055,Mariana,Diaz Oliva,ARG
200056,Jelena,Kostanic Tosic,CRO
200057,Erika,De Lone,USA
200058,Anna,Foldenyi Dicker,HUN
200059,Ruxandra,Dragomir Ilie,ROU
200060,Tathiana,Garbin,ITA
200061,Gala,Leon Garcia,ESP
200062,Kristina,Brandi,PUR
200063,Tatiana,Panova,RUS
200064,Amanda,Coetzer,RSA
200065,Amelie,Mauresmo,FRA
200066,Cristina,Torrens Valero,ESP
200067,Patty,Schnyder,SUI
200068,Lilia,Osterloh,USA
200069,Nadia,Petrova,RUS
200070,Anne Gaelle,Sidot,FRA
200071,Lenka,Nemeckova,CZE
200072,Cara,Black,ZIM
200073,Julie,Pullin,GBR
200074,Jane,Chi,USA
200075,Jing Qian,Yi,CHN
200076,Laurence,Courtois,BEL
200077,Jennifer,Capriati,USA
200078,Barbara,Schwartz,AUT
200079,Kim,Clijsters,BEL
200080,Dominique,Monami,BEL
200081,Anke,Huber,GER
200082,Kristie,Boogert,NED
200083,Alexandra,Stevenson,USA
200084,Asa,Svensson,SWE
200085,Ai,Sugiyama,JPN
200086,Magdalena,Maleeva,BUL
200087,Seda,Noorlander,NED
200088,Adriana,Gersi,CZE
200089,Miriam,Oremans,NED
200090,Anca,Barna,GER
200091,Janet,Lee,TPE
200092,Sandra,Nacuk,SCG
200093,Amelie,Cocheteux,FRA
200094,Barbara,Rittner,GER
200095,Linda,Wild,USA
200096,Mary,Pierce,FRA
200097,Nathalie,Tauziat,FRA
200098,Henrieta,Nagyova,SVK
200099,Sonya,Jeyaseelan,CAN
200100,Amanda,Hopmans,NED
200101,Jana,Kandarr,GER
200102,Melissa,Dowse,AUS
200103,Evie,Dominikovic,AUS
200104,Emilie,Loit,FRA
200105,Rachel,Mcquillan,AUS
200106,Angeles,Montolio,ESP
200107,Paola,Suarez,ARG
200108,Elena,Dementieva,RUS
200109,Nathalie,Dechy,FRA
200110,Fabiola,Zuluaga,COL
200111,Lina,Krasnoroutskaya,RUS
200112,Julie,Halard Decugis,FRA
200113,Anna,Kournikova,RUS
200114,Patricia,Wartusch,AUT
200115,Brie,Rippner,USA
200116,Natalia,Zvereva,BLR
200117,Kveta,Peschke,CZE
200118,Virginia,Ruano Pascual,ESP
200119,Rita,Kuti Kis,HUN
200120,Jelena,Dokic,AUS
200121,Alina,Jidkova,RUS
200122,Tina,Pisnik,SLO
200123,Marlene,Weingartner,GER
200124,Anne,Kremer,LUX
200125,Corina,Morariu,USA
200126,Marissa,Gould,USA
200127,Sarah,Pitkowski Malcor,FRA
200128,Lindsay,Davenport,USA
200129,Lesley,Bowrey,AUS
200130,Dorothy,Whitely,AUS
200131,Judith,Gohn,AUS
200132,Kay,Williams,AUS
200133,Eva,De Jong,NED
200134,Kerry,Ballard,AUS
200135,Lorraine,Robinson,AUS
200136,Valerie,Caulley,AUS
200137,L,Griffiths,AUS
200138,Sandra,Hole,AUS
200139,Lita,Sugiarto,INA
200140,Beryl,Jenkins,AUS
200141,Wendy,Gilchrist,AUS
200142,Loris,Butterfield,AUS
200143,Kathleen,Harter,USA
200144,Margaret,Court,AUS
200145,Kerry,Harris,AUS
200146,Cynthia,Doerner,AUS
200147,Geri,Shepard,USA
200148,Marilyn,Tesch,AUS
200149,Helen,Sheedy,AUS
200150,Evonne,Cawley,AUS
200151,Ada,Bakker,NED
200152,Gail,Benedetti,FRA
200153,S,Washbourne,AUS
200154,S,Stephen,AUS
200155,Lexie,Kenny,AUS
200156,Lynette,Mansfield,AUS
200157,Lynne,Nette,AUS
200158,Carol,Zeeman,AUS
200159,Rosie,Casals,USA
200160,Judy,Dalton,AUS
200161,Janine,Whyte,AUS
200162,Judith,Salome,NED
200163,Helen,Oconnor,AUS
200164,Joan,Johnson,USA
200165,Lany,Kaligis,INA
200166,Patricia,Edwards,AUS
200167,Heather,Mckechnie,AUS
200168,Karen,Krantzcke,AUS
200169,Ann,Jenkins,AUS
200170,Beverley,Rae,AUS
200171,Janet,Young,AUS
200172,Caroline,Cooper,AUS
200173,Kaye,Dening,AUS
200174,Kerry,Wilkinson,AUS
200175,Mary Ann,Beattie,USA
