id,name,url,img_url,category,location,booked_counts,discount_percentage,item_count,page_count,created_dt,last_updated_dt,zeroflag
8,"Happ Cafe (Tropicana Avenue)",http://offpeak.my/restaurant/8/happ-cafe-tropicana-avenue,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/8/Restaurant_Gallery/58b76c37907cd_sq.jpg,Fusion,Selangor,44,20%,5,3,"2017-04-28 11:52:08","2017-04-28 11:52:08",0
10,"Imbi Village (Jalan Imbi)",http://offpeak.my/restaurant/10/imbi-village-jalan-imbi,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/10/Restaurant_Gallery/58b77bca79b26_sq.jpg,Thai,"Wilayah Persekutuan",3,20%,17,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
15,"Brotzeit Bier Bar & Restaurant (S-Pyramid)",http://offpeak.my/restaurant/15/brotzeit-bier-bar-restaurant-s-pyramid,http://offpeak.my/assets/restaurant/15/gallery/35bc0feeb01327cd0cb8c749b85c5c1b_sq.jpg,German,Selangor,408,30%,5,68,"2017-04-28 11:34:14","2017-04-28 11:53:03",0
16,"Brotzeit Bier Bar & Restaurant (Mid Valley)",http://offpeak.my/restaurant/16/brotzeit-bier-bar-restaurant-mid-valley,http://offpeak.my/assets/restaurant/16/gallery/1a7b1a8cd501bd9fbcb334d79924ed56_sq.jpg,German,"Kuala Lumpur",774,30%,6,68,"2017-04-28 11:34:14","2017-04-28 11:53:03",0
18,"Sora Cafe (Empire Shopping Gallery)",http://offpeak.my/restaurant/18/sora-cafe-empire-shopping-gallery,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/18/Restaurant_Gallery/58b8e00e18004_sq.jpg,Café,Bistro,60,30%,7,3,"2017-04-28 11:52:08","2017-04-28 11:52:08",0
39,"Shook! (Starhill)",http://offpeak.my/restaurant/39/shook-starhill,http://offpeak.my/assets/restaurant/39/gallery/de76fd2c1875a8492e506af95fbe7738_sq.jpg,Fusion,"Kuala Lumpur",120,25%,16,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
40,"Chinaz Cafe (5 Elements Hotel, KL)",http://offpeak.my/restaurant/40/chinaz-cafe-5-elements-hotel-kl,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/40/Restaurant_Gallery/58c2442ee40cf_sq.jpg,Asian,"Wilayah Persekutuan",6,45%,20,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
65,"Salad Atelier (Sunway Velocity Mall)",http://offpeak.my/restaurant/65/salad-atelier-sunway-velocity-mall,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/65/Restaurant_Gallery/58c7440f84fae_sq.jpg,"Healthy eating","Kuala Lumpur",247,30%,15,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
66,"Hainan Tea Cafe (Plaza Low Yat)",http://offpeak.my/restaurant/66/hainan-tea-cafe-plaza-low-yat,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/66/Restaurant_Gallery/58ca220d26d1d_sq.jpg,Local,"Wilayah Persekutuan",44,20%,18,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
67,"Restoran Tasik Indah (Shah Alam)",http://offpeak.my/restaurant/67/restoran-tasik-indah-shah-alam,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/67/Restaurant_Gallery/58ca3a9c3873c_sq.JPG,"Malaysia Fusion",Selangor,8,15%,19,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
70,"Mezze Wine Bar & Bistro (Bukit Damansara)",http://offpeak.my/restaurant/70/mezze-wine-bar-bistro-bukit-damansara,http://offpeak.my/assets/restaurant/70/gallery/d427461c98a48f940f0f63cdd19e9861_sq.jpg,European,"Kuala Lumpur",249,30%,3,68,"2017-04-28 11:34:14","2017-04-28 11:53:03",0
71,"Bankara Ramen (Avenue K)",http://offpeak.my/restaurant/71/bankara-ramen-avenue-k,http://offpeak.my/assets/restaurant/71/gallery/4b2120ec801259c0621d07a90eebb12f_sq.jpg,Japanese,"Kuala Lumpur",37,10%,2,68,"2017-04-28 11:34:14","2017-04-28 11:53:03",0
72,"1919 Restaurant KL (Jln.Yap Kwan Seng)",http://offpeak.my/restaurant/72/1919-restaurant-kl-jlnyap-kwan-seng,http://offpeak.my/assets/restaurant/72/gallery/d1bf86a5043b3b03db145affd0ce4ea9_sq.jpg,Asian,"Kuala Lumpur",46,20%,1,68,"2017-04-28 11:34:14","2017-04-28 11:53:03",0
76,"Fusion Hut (Sunway)",http://offpeak.my/restaurant/76/fusion-hut-sunway,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/76/Restaurant_Gallery/58cb4dcb68850_sq.jpg,Fusion,Selangor,120,20%,10,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
81,"Comma Cafe (Setia Alam)",http://offpeak.my/restaurant/81/comma-cafe-setia-alam,http://offpeak.my/assets/restaurant/81/gallery/5073b49c091e41cf158e506d6f7d95a7_sq.jpg,Café,Bistro,906,10%,19,67,"2017-04-28 11:53:03","2017-04-28 11:53:03",0
99,"Dancing Fish (BSC)",http://offpeak.my/restaurant/99/dancing-fish-bsc,http://offpeak.my/assets/restaurant/99/gallery/bd557b2e81c04a217406734ce158f7be_sq.jpg,"Malay Indo","Kuala Lumpur",108,10%,14,67,"2017-04-28 11:53:03","2017-04-28 11:53:03",0
102,"Oiso Korean (Jaya 33)",http://offpeak.my/restaurant/102/oiso-korean-jaya-33,http://offpeak.my/assets/restaurant/102/gallery/e2562da034a293ca59863fe231061600_sq.JPG,Korean,Selangor,770,30%,9,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
104,"Oiso Korean Traditional Cuisine (Da Men)",http://offpeak.my/restaurant/104/oiso-korean-traditional-cuisine-da-men,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/104/Restaurant_Gallery/58cb874ede95c_sq.jpg,Korean,Selangor,14,20%,13,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
105,"IT ROO Bistro (JB)",http://offpeak.my/restaurant/105/it-roo-bistro-jb,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/105/Restaurant_Gallery/58ca4e4f9488e_sq.JPG,Café,Bistro,1,10%,14,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
106,"Lepen Cafe (Ara Damansara)",http://offpeak.my/restaurant/106/lepen-cafe-ara-damansara,http://offpeak.my/assets/restaurant/106/gallery/669ccd171ffbf901f249aec27bc254a8_sq.jpg,Western,Selangor,238,20%,13,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
109,"CL Blowwater Cafe (Penang)",http://offpeak.my/restaurant/109/cl-blowwater-cafe-penang,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/109/Restaurant_Gallery/58cb7cd354438_sq.jpg,Café,Bistro,3,10%,11,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
112,"Cafe BLD (Renaissance JB Hotel)",http://offpeak.my/restaurant/112/cafe-bld-renaissance-jb-hotel,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/112/Restaurant_Gallery/58d21762e3df6_sq.jpg,International,Johor,21,15%,12,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
113,"Wan Li Restaurant (Renaissance JB Hotel)",http://offpeak.my/restaurant/113/wan-li-restaurant-renaissance-jb-hotel,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/113/Restaurant_Gallery/58d217ad776c5_sq.jpg,Chinese,Johor,7,15%,13,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
118,"Caffeinees (Kg.Pandan)",http://offpeak.my/restaurant/118/caffeinees-kgpandan,http://offpeak.my/assets/restaurant/118/gallery/9c47fa1fd7f6ce77a0dc274c10d21f7c_sq.jpg,International,"Kuala Lumpur",261,30%,9,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
119,"Oiso Korean (M.H.P)",http://offpeak.my/restaurant/119/oiso-korean-mhp,http://offpeak.my/assets/restaurant/119/gallery/e07bd578109e57c520dcd54587da4d12_sq.jpg,Korean,"Kuala Lumpur",338,10%,12,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
124,"R Bar (Renaissance JB Hotel)",http://offpeak.my/restaurant/124/r-bar-renaissance-jb-hotel,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/124/Restaurant_Gallery/58d2186ad81a7_sq.jpg,"Lounge & Bar",Johor,0,10%,14,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",1
125,"TCCC (Renaissance JB Hotel)",http://offpeak.my/restaurant/125/tccc-renaissance-jb-hotel,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/125/Restaurant_Gallery/58e22c2b11f95_sq.jpg,International,Johor,0,20%,15,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",1
140,"Chakri Palace (KLCC)",http://offpeak.my/restaurant/140/chakri-palace-klcc,http://offpeak.my/assets/restaurant/140/gallery/8af627636d03b982eb58f60d1c3915b1_sq.jpg,Thai,"Kuala Lumpur",33,15%,18,41,"2017-04-28 11:52:41","2017-04-28 11:52:41",0
141,"Chakri Palace (Pavilion)",http://offpeak.my/restaurant/141/chakri-palace-pavilion,http://offpeak.my/assets/restaurant/141/gallery/42df892925060f0cc47592a67bb9f8a7_sq.jpg,Thai,"Kuala Lumpur",82,15%,12,39,"2017-04-28 11:52:39","2017-04-28 11:52:39",0
143,"Rainforest Bistro (Sunway Pyramid)",http://offpeak.my/restaurant/143/rainforest-bistro-sunway-pyramid,http://offpeak.my/assets/restaurant/143/gallery/6c098f6c5840f377579055cf614cf37e_sq.jpg,Western,Selangor,17,15%,17,41,"2017-04-28 11:52:41","2017-04-28 11:52:41",0
146,"Aroma Village (Equine Park)",http://offpeak.my/restaurant/146/aroma-village-equine-park,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/146/Restaurant_Gallery/58d4c1226d8a9_sq.jpg,Nyonya,Selangor,7,20%,5,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
151,"Aroma Village (IOI City Mall)",http://offpeak.my/restaurant/151/aroma-village-ioi-city-mall,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/151/Restaurant_Gallery/58d4c53ff1659_sq.jpg,Nyonya,Selangor,27,20%,4,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
152,"Aroma Village (Nu Sentral)",http://offpeak.my/restaurant/152/aroma-village-nu-sentral,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/152/Restaurant_Gallery/58d4c782ad52d_sq.jpg,Nyonya,"Wilayah Persekutuan",27,20%,3,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
153,"Oriental Chinese Cuisine (Pullman)",http://offpeak.my/restaurant/153/oriental-chinese-cuisine-pullman,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/153/Restaurant_Gallery/58e44a85d687c_sq.JPG,Chinese,"Kuala Lumpur",4,20%,10,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
154,"Brasaria (Jaya One)",http://offpeak.my/restaurant/154/brasaria-jaya-one,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/154/Restaurant_Gallery/58db7d77ad404_sq.jpg,"South American",Selangor,31,20%,1,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
156,"Black Market (The Main Place)",http://offpeak.my/restaurant/156/black-market-the-main-place,http://offpeak.my/assets/restaurant/156/gallery/779a9e30332fd867bae1afdefc36a469_sq.jpg,International,Selangor,500,30%,11,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
157,"Black Market (Kg.Pandan)",http://offpeak.my/restaurant/157/black-market-kgpandan,http://offpeak.my/assets/restaurant/157/gallery/914051c1b3134230f98f0281c68d148f_sq.jpg,International,"Kuala Lumpur",234,30%,10,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
160,"Sumo Japanese Restaurant (USJ)",http://offpeak.my/restaurant/160/sumo-japanese-restaurant-usj,http://offpeak.my/assets/restaurant/160/gallery/208f64bdd6b25c9c5c5854404ef8323a_sq.jpg,Japanese,Selangor,372,10%,8,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
163,"Hokano Japanese Restaurant (Uptown)",http://offpeak.my/restaurant/163/hokano-japanese-restaurant-uptown,http://offpeak.my/assets/restaurant/163/gallery/8061d69578639bc6999e3ee746ff68fe_sq.jpg,Japanese,Selangor,68,10%,7,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
169,"Rekindle Cafe (SS2)",http://offpeak.my/restaurant/169/rekindle-cafe-ss2,http://offpeak.my/assets/restaurant/169/gallery/7d2140d3da28e487a0c4e4dcf32476e2_sq.jpg,Café,Bistro,1134,10%,6,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
171,"Cameleon Vegetarian Restaurant",http://offpeak.my/restaurant/171/cameleon-vegetarian-restaurant,http://offpeak.my/assets/restaurant/171/gallery/8cb69f9ddf012e39c09097d3ef910e04_sq.png,Vegetarian,"Kuala Lumpur",332,20%,5,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
181,"Brewyard Coffee (SS15)",http://offpeak.my/restaurant/181/brewyard-coffee-ss15,http://offpeak.my/assets/restaurant/181/gallery/c607a6119b2dd076a9fb9995d98ffab3_sq.jpg,Café,Bistro,206,20%,4,67,"2017-04-28 11:53:02","2017-04-28 12:11:03",0
182,"Doi Chaang Coffee (USJ Taipan)",http://offpeak.my/restaurant/182/doi-chaang-coffee-usj-taipan,http://offpeak.my/assets/restaurant/182/gallery/3becab684d2e2215dd52e4edf1be66cc_sq.png,Café,Bistro,680,15%,2,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
184,"Fa Ying Modern Thai Restaurant (Paradigm)",http://offpeak.my/restaurant/184/fa-ying-modern-thai-restaurant-paradigm,http://offpeak.my/assets/restaurant/184/gallery/e37af0c31f5fed0fb2be701584518cc6_sq.jpg,Thai,Selangor,2344,30%,3,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
187,"The Sultani @ Hotel Flamingo",http://offpeak.my/restaurant/187/the-sultani-at-hotel-flamingo,http://offpeak.my/assets/restaurant/187/gallery/8f7f0ee46d912424942ddb3a7d86e3f7_sq.jpg,"Indian & Persian",Selangor,0,25%,18,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",1
190,"Pampas Grill & Bar (Changkat Bk Bintang)",http://offpeak.my/restaurant/190/pampas-grill-bar-changkat-bk-bintang,http://offpeak.my/assets/restaurant/190/gallery/d366a925ded8af328dbcefff601649ae_sq.jpg,Steakhouse,"Kuala Lumpur",185,30%,20,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
